,年月,customer_id,count_pred,count_0,count_1,count_2,count_3,count_4,count_5,start_date,now_date,period
49,201810,AS185951,1,5.0,3.0,3.0,7.0,3.0,10.0,2018-04-09,2018-10-01,5
55,201810,AS197200,12,6.0,8.0,9.0,6.0,8.0,8.0,2018-04-15,2018-10-01,5
56,201810,AS200286,3,6.0,3.0,6.0,6.0,7.0,10.0,2018-04-06,2018-10-01,5
72,201810,AS251169,2,4.0,6.0,5.0,8.0,10.0,7.0,2018-04-03,2018-10-01,5
96,201810,AS345469,1,3.0,5.0,6.0,5.0,4.0,7.0,2018-04-12,2018-10-01,5
145,201810,AS501123,3,4.0,5.0,5.0,8.0,7.0,7.0,2018-04-01,2018-10-01,6
147,201810,AS509237,3,2.0,1.0,2.0,4.0,8.0,9.0,2018-04-06,2018-10-01,5
156,201810,AS546422,1,5.0,7.0,4.0,10.0,8.0,8.0,2018-04-10,2018-10-01,5
186,201810,AS628722,3,5.0,4.0,6.0,4.0,7.0,9.0,2018-04-15,2018-10-01,5
191,201810,AS639549,4,2.0,2.0,3.0,5.0,9.0,8.0,2018-04-15,2018-10-01,5
193,201810,AS645809,2,3.0,4.0,3.0,3.0,5.0,8.0,2018-04-06,2018-10-01,5
215,201810,AS721170,1,1.0,2.0,5.0,6.0,6.0,7.0,2018-04-12,2018-10-01,5
247,201810,AS823436,6,3.0,1.0,6.0,7.0,5.0,10.0,2018-04-01,2018-10-01,6
265,201810,AS886872,11,8.0,7.0,7.0,8.0,7.0,8.0,2018-04-12,2018-10-01,5
326,201810,GD098851,7,5.0,6.0,9.0,6.0,7.0,10.0,2018-04-12,2018-10-01,5
336,201810,GD115456,2,2.0,4.0,4.0,2.0,6.0,7.0,2018-04-05,2018-10-01,5
350,201810,GD165203,2,5.0,1.0,3.0,6.0,7.0,8.0,2018-04-14,2018-10-01,5
356,201810,GD174951,3,4.0,4.0,4.0,6.0,9.0,5.0,2018-04-14,2018-10-01,5
364,201810,GD210507,3,5.0,6.0,7.0,6.0,6.0,8.0,2018-04-11,2018-10-01,5
395,201810,GD325851,8,8.0,6.0,5.0,8.0,9.0,10.0,2018-04-13,2018-10-01,5
432,201810,GD475433,3,3.0,5.0,2.0,3.0,9.0,9.0,2018-04-12,2018-10-01,5
449,201810,GD563242,4,7.0,11.0,9.0,8.0,10.0,13.0,2018-04-05,2018-10-01,5
470,201810,GD646501,2,4.0,4.0,5.0,6.0,5.0,10.0,2018-04-12,2018-10-01,5
491,201810,GD716223,8,9.0,7.0,6.0,9.0,7.0,11.0,2018-04-15,2018-10-01,5
504,201810,GD768522,2,2.0,4.0,6.0,5.0,5.0,6.0,2018-04-08,2018-10-01,5
544,201810,GD921810,1,4.0,3.0,6.0,6.0,6.0,7.0,2018-04-11,2018-10-01,5
573,201810,HD032015,4,4.0,5.0,6.0,8.0,10.0,7.0,2018-04-14,2018-10-01,5
588,201810,HD069655,3,5.0,3.0,7.0,4.0,5.0,9.0,2018-04-15,2018-10-01,5
600,201810,HD104614,3,4.0,5.0,3.0,6.0,8.0,8.0,2018-04-15,2018-10-01,5
615,201810,HD146199,9,7.0,7.0,8.0,9.0,9.0,10.0,2018-04-09,2018-10-01,5
636,201810,HD218970,3,4.0,4.0,4.0,5.0,7.0,8.0,2018-04-02,2018-10-01,5
653,201810,HD293656,3,4.0,2.0,5.0,4.0,9.0,8.0,2018-04-12,2018-10-01,5
654,201810,HD295608,3,1.0,4.0,3.0,4.0,8.0,6.0,2018-04-11,2018-10-01,5
677,201810,HD351145,4,3.0,2.0,4.0,5.0,6.0,7.0,2018-04-04,2018-10-01,5
691,201810,HD402002,6,7.0,10.0,12.0,9.0,6.0,9.0,2018-04-13,2018-10-01,5
697,201810,HD426886,7,9.0,11.0,8.0,8.0,8.0,10.0,2018-04-05,2018-10-01,5
731,201810,HD523855,4,6.0,5.0,7.0,8.0,7.0,9.0,2018-04-04,2018-10-01,5
743,201810,HD571515,2,5.0,5.0,7.0,8.0,9.0,6.0,2018-04-15,2018-10-01,5
748,201810,HD580454,7,5.0,11.0,10.0,9.0,7.0,10.0,2018-04-05,2018-10-01,5
763,201810,HD634523,1,1.0,5.0,6.0,7.0,6.0,7.0,2018-04-13,2018-10-01,5
777,201810,HD677310,4,4.0,4.0,3.0,6.0,4.0,10.0,2018-04-09,2018-10-01,5
789,201810,HD717249,1,1.0,3.0,5.0,6.0,7.0,10.0,2018-04-14,2018-10-01,5
833,201810,HD814444,9,6.0,6.0,10.0,6.0,8.0,12.0,2018-04-04,2018-10-01,5
857,201810,HD874104,3,3.0,3.0,4.0,4.0,7.0,5.0,2018-04-14,2018-10-01,5
878,201810,HD981197,4,3.0,3.0,6.0,7.0,7.0,7.0,2018-04-15,2018-10-01,5
897,201810,HI049184,1,2.0,2.0,3.0,8.0,5.0,8.0,2018-04-15,2018-10-01,5
919,201810,HI140097,5,4.0,5.0,6.0,8.0,7.0,10.0,2018-04-07,2018-10-01,5
978,201810,HI302801,2,1.0,4.0,3.0,8.0,9.0,7.0,2018-04-05,2018-10-01,5
988,201810,HI331377,9,7.0,8.0,8.0,7.0,7.0,10.0,2018-04-11,2018-10-01,5
1001,201810,HI367242,6,8.0,7.0,8.0,9.0,10.0,8.0,2018-04-07,2018-10-01,5
1002,201810,HI368031,9,8.0,3.0,8.0,8.0,8.0,10.0,2018-04-03,2018-10-01,5
1016,201810,HI402688,3,6.0,6.0,5.0,6.0,7.0,8.0,2018-04-12,2018-10-01,5
1069,201810,HI570258,2,4.0,2.0,5.0,5.0,6.0,11.0,2018-04-11,2018-10-01,5
1077,201810,HI596179,1,4.0,3.0,3.0,4.0,5.0,11.0,2018-04-06,2018-10-01,5
1079,201810,HI599889,8,6.0,8.0,6.0,8.0,6.0,10.0,2018-04-13,2018-10-01,5
1084,201810,HI606358,6,5.0,1.0,3.0,4.0,8.0,11.0,2018-04-14,2018-10-01,5
